STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COU,Country,WASTE,Waste category,WST_OPER,Waste management operations,UNIT,Unit of measure,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_LE,Large equipment,RCY,Recycling,KG_HAB,Kilograms per capita,2019,,3.149,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_SE,Small equipment,MKT,Products put on the market,KG_HAB,Kilograms per capita,2019,,5.996,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_SE,Small equipment,COL,Waste collected,KG_HAB,Kilograms per capita,2019,,1.566,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_SE,Small equipment,RCY,Recycling,KG_HAB,Kilograms per capita,2019,,1.306,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_SITTE,Small IT and telecommunication equipment,MKT,Products put on the market,KG_HAB,Kilograms per capita,2019,,1.036,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_SITTE,Small IT and telecommunication equipment,COL,Waste collected,KG_HAB,Kilograms per capita,2019,,0.737,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_SITTE,Small IT and telecommunication equipment,RCY,Recycling,KG_HAB,Kilograms per capita,2019,,0.596,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE6,Total waste,MKT,Products put on the market,TH_T,Thousand tonnes,2019,,236.297,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE6,Total waste,COL,Waste collected,TH_T,Thousand tonnes,2019,,101.319,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE6,Total waste,RCY,Recycling,TH_T,Thousand tonnes,2019,,92.777,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_TEE,Temperature exchange equipment,MKT,Products put on the market,TH_T,Thousand tonnes,2019,,40.633,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_TEE,Temperature exchange equipment,COL,Waste collected,TH_T,Thousand tonnes,2019,,23.384,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_TEE,Temperature exchange equipment,RCY,Recycling,TH_T,Thousand tonnes,2019,,23.218,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_SME,Screens and monitors,MKT,Products put on the market,TH_T,Thousand tonnes,2019,,17.066,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_SME,Screens and monitors,COL,Waste collected,TH_T,Thousand tonnes,2019,,16.088,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_SME,Screens and monitors,RCY,Recycling,TH_T,Thousand tonnes,2019,,14.754,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_LMP,Lamps,MKT,Products put on the market,TH_T,Thousand tonnes,2019,,1.695,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_LMP,Lamps,COL,Waste collected,TH_T,Thousand tonnes,2019,,1.022,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_LMP,Lamps,RCY,Recycling,TH_T,Thousand tonnes,2019,,0.902,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_LE,Large equipment,MKT,Products put on the market,TH_T,Thousand tonnes,2019,,101.871,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_LE,Large equipment,COL,Waste collected,TH_T,Thousand tonnes,2019,,36.25,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_LE,Large equipment,RCY,Recycling,TH_T,Thousand tonnes,2019,,33.602,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_SE,Small equipment,MKT,Products put on the market,TH_T,Thousand tonnes,2019,,63.975,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_SE,Small equipment,COL,Waste collected,TH_T,Thousand tonnes,2019,,16.711,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_SE,Small equipment,RCY,Recycling,TH_T,Thousand tonnes,2019,,13.937,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_SITTE,Small IT and telecommunication equipment,MKT,Products put on the market,TH_T,Thousand tonnes,2019,,11.057,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_SITTE,Small IT and telecommunication equipment,COL,Waste collected,TH_T,Thousand tonnes,2019,,7.863,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_SITTE,Small IT and telecommunication equipment,RCY,Recycling,TH_T,Thousand tonnes,2019,,6.364,,A,,,,,,,
